# this dataset comes from https://www.baseball-reference.com/leagues/MLB/index.shtml
# it describes the number of games won by each team in a given year
# the column G refers to the number of games in that season
Year,G,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,HOU,KCR,LAA,LAD,MIA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SFG,SEA,STL,TBR,TEX,TOR,WSN
1916,154,NA,89,79,91,67,89,60,77,NA,87,NA,NA,NA,94,NA,NA,76,NA,80,36,91,65,NA,86,NA,60,NA,NA,NA,NA
1915,154,NA,83,63,101,73,93,71,57,NA,100,NA,NA,NA,80,NA,NA,85,NA,69,43,90,73,NA,69,NA,72,NA,NA,NA,NA
1914,154,NA,94,71,91,78,70,60,51,NA,80,NA,NA,NA,75,NA,NA,81,NA,70,99,74,69,NA,84,NA,81,NA,NA,NA,NA
1913,154,NA,69,57,79,88,78,64,86,NA,66,NA,NA,NA,65,NA,NA,90,NA,57,96,88,78,NA,101,NA,51,NA,NA,NA,NA
1912,154,NA,52,53,105,91,78,75,75,NA,69,NA,NA,NA,58,NA,NA,91,NA,50,90,73,93,NA,103,NA,63,NA,NA,NA,NA
1911,154,NA,44,45,78,92,77,70,80,NA,89,NA,NA,NA,64,NA,NA,64,NA,76,101,79,85,NA,99,NA,75,NA,NA,NA,NA
1910,154,NA,53,47,81,104,68,75,71,NA,86,NA,NA,NA,64,NA,NA,66,NA,88,102,78,86,NA,91,NA,63,NA,NA,NA,NA
1909,153,NA,45,61,88,104,78,77,71,NA,98,NA,NA,NA,55,NA,NA,42,NA,74,95,74,110,NA,92,NA,54,NA,NA,NA,NA
1908,154,NA,63,83,75,99,88,73,90,NA,90,NA,NA,NA,53,NA,NA,67,NA,51,68,83,98,NA,98,NA,49,NA,NA,NA,NA
1907,154,NA,58,69,59,107,87,66,85,NA,92,NA,NA,NA,65,NA,NA,49,NA,70,88,83,91,NA,82,NA,52,NA,NA,NA,NA
1906,154,NA,49,76,49,116,93,64,89,NA,71,NA,NA,NA,66,NA,NA,55,NA,90,78,71,93,NA,96,NA,52,NA,NA,NA,NA
1905,154,NA,51,54,78,92,92,79,76,NA,79,NA,NA,NA,48,NA,NA,64,NA,71,92,83,96,NA,105,NA,58,NA,NA,NA,NA
1904,154,NA,55,65,95,93,89,88,86,NA,62,NA,NA,NA,56,NA,NA,38,NA,92,81,52,87,NA,106,NA,75,NA,NA,NA,NA
1903,140,NA,58,65,91,82,60,74,77,NA,65,NA,NA,NA,70,NA,NA,43,NA,72,75,49,91,NA,84,NA,43,NA,NA,NA,NA
1902,140,NA,73,78,77,68,74,70,69,NA,52,NA,NA,NA,75,NA,NA,61,NA,NA,83,56,103,NA,48,NA,56,NA,NA,NA,NA
1901,140,NA,69,48,79,53,83,52,54,NA,74,NA,NA,NA,79,NA,NA,61,NA,NA,74,83,90,NA,52,NA,76,NA,NA,NA,NA
