This is a dataset of Pokemon statistics.
It includes generations 1 - 8!

abilities,attack,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Cute Charm', 'Competitive', 'Friend Guard']",45,70,270,170,Balloon Pokémon,20,800000,0.5,115,Purinプリン,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0
"['Cute Charm', 'Competitive', 'Frisk']",70,70,435,50,Balloon Pokémon,45,800000,1,140,Pukurinプクリン,Wigglytuff,24.6,40,85,50,45,normal,fairy,12,1,0
"['Inner Focus', 'Infiltrator']",45,70,245,255,Bat Pokémon,35,1000000,0.8,40,Zubatズバット,Zubat,50,41,30,40,55,poison,flying,7.5,1,0
"['Inner Focus', 'Infiltrator']",80,70,455,90,Bat Pokémon,70,1000000,1.6,75,Golbatゴルバット,Golbat,50,42,65,75,90,poison,flying,55,1,0
"['Chlorophyll', 'Run Away']",50,70,320,255,Weed Pokémon,55,1059860,0.5,45,Nazonokusaナゾノクサ,Oddish,50,43,75,65,30,grass,poison,5.4,1,0
"['Chlorophyll', 'Stench']",65,70,395,120,Weed Pokémon,70,1059860,0.8,60,Kusaihanaクサイハナ,Gloom,50,44,85,75,40,grass,poison,8.6,1,0
"['Chlorophyll', 'Effect Spore']",80,70,490,45,Flower Pokémon,85,1059860,1.2,75,Ruffresiaラフレシア,Vileplume,50,45,110,90,50,grass,poison,18.6,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",70,70,285,190,Mushroom Pokémon,55,1000000,0.3,35,Parasパラス,Paras,50,46,45,55,25,bug,grass,5.4,1,0
"['Effect Spore', 'Dry Skin', 'Damp']",95,70,405,75,Mushroom Pokémon,80,1000000,1,60,Parasectパラセクト,Parasect,50,47,60,80,30,bug,grass,29.5,1,0
"['Compoundeyes', 'Tinted Lens', 'Run Away']",55,70,305,190,Insect Pokémon,50,1000000,1,60,Kongpangコンパン,Venonat,50,48,40,55,45,bug,poison,30,1,0
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",65,70,450,75,Poison Moth Pokémon,60,1000000,1.5,70,Morphonモルフォン,Venomoth,50,49,90,75,90,bug,poison,12.5,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",55,70,265,255,Mole Pokémon,30,1000000,NA,10,Digdaディグダ,Diglett,50,50,35,45,90,ground,ground,NA,1,0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",100,70,425,50,Mole Pokémon,60,1000000,NA,35,Dugtrioダグトリオ,Dugtrio,50,51,50,70,110,ground,ground,NA,1,0
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",35,70,290,255,Scratch Cat Pokémon,35,1000000,NA,40,Nyarthニャース,Meowth,50,52,50,40,90,normal,dark,NA,1,0
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",60,70,440,90,Classy Cat Pokémon,60,1000000,NA,65,Persianペルシアン,Persian,50,53,75,65,115,normal,dark,NA,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",52,70,320,190,Duck Pokémon,48,1000000,0.8,50,Koduckコダック,Psyduck,50,54,65,50,55,water,NA,19.6,1,0
"['Damp', 'Cloud Nine', 'Swift Swim']",82,70,500,75,Duck Pokémon,78,1000000,1.7,80,Golduckゴルダック,Golduck,50,55,95,80,85,water,NA,76.6,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",80,70,305,190,Pig Monkey Pokémon,35,1000000,0.5,40,Mankeyマンキー,Mankey,50,56,35,45,70,fighting,NA,28,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",105,70,455,75,Pig Monkey Pokémon,60,1000000,1,65,Okorizaruオコリザル,Primeape,50,57,60,70,95,fighting,NA,32,1,0
"['Intimidate', 'Flash Fire', 'Justified']",70,70,350,190,Puppy Pokémon,45,1250000,0.7,55,Gardieガーディ,Growlithe,75.4,58,70,50,60,fire,NA,19,1,0
"['Intimidate', 'Flash Fire', 'Justified']",110,70,555,75,Legendary Pokémon,80,1250000,1.9,90,Windieウインディ,Arcanine,75.4,59,100,80,95,fire,NA,155,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",50,70,300,255,Tadpole Pokémon,40,1059860,0.6,40,Nyoromoニョロモ,Poliwag,50,60,40,40,90,water,NA,12.4,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",65,70,385,120,Tadpole Pokémon,65,1059860,1,65,Nyorozoニョロゾ,Poliwhirl,50,61,50,50,90,water,NA,20,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",95,70,510,45,Tadpole Pokémon,95,1059860,1.3,90,Nyorobonニョロボン,Poliwrath,50,62,70,90,70,water,fighting,54,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",20,70,310,200,Psi Pokémon,15,1059860,0.9,25,Caseyケーシィ,Abra,75.4,63,105,55,90,psychic,NA,19.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",35,70,400,100,Psi Pokémon,30,1059860,1.3,40,Yungererユンゲラー,Kadabra,75.4,64,120,70,105,psychic,NA,56.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",50,70,600,50,Psi Pokémon,65,1059860,1.5,55,Foodinフーディン,Alakazam,75.4,65,175,105,150,psychic,NA,48,1,0
"['Guts', 'No Guard', 'Steadfast']",80,70,305,180,Superpower Pokémon,50,1059860,0.8,70,Wanrikyワンリキー,Machop,75.4,66,35,35,35,fighting,NA,19.5,1,0
"['Guts', 'No Guard', 'Steadfast']",100,70,405,90,Superpower Pokémon,70,1059860,1.5,80,Gorikyゴーリキー,Machoke,75.4,67,50,60,45,fighting,NA,70.5,1,0
"['Guts', 'No Guard', 'Steadfast']",130,70,505,45,Superpower Pokémon,80,1059860,1.6,90,Kairikyカイリキー,Machamp,75.4,68,65,85,55,fighting,NA,130,1,0
"['Chlorophyll', 'Gluttony']",75,70,300,255,Flower Pokémon,35,1059860,0.7,50,Madatsubomiマダツボミ,Bellsprout,50,69,70,30,40,grass,poison,4,1,0
"['Chlorophyll', 'Gluttony']",90,70,390,120,Flycatcher Pokémon,50,1059860,1,65,Utsudonウツドン,Weepinbell,50,70,85,45,55,grass,poison,6.4,1,0
"['Chlorophyll', 'Gluttony']",105,70,490,45,Flycatcher Pokémon,65,1059860,1.7,80,Utsubotウツボット,Victreebel,50,71,100,70,70,grass,poison,15.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,70,335,190,Jellyfish Pokémon,35,1250000,0.9,40,Menokurageメノクラゲ,Tentacool,50,72,50,100,70,water,poison,45.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",70,70,515,60,Jellyfish Pokémon,65,1250000,1.6,80,Dokukurageドククラゲ,Tentacruel,50,73,80,120,100,water,poison,55,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",80,70,300,255,Rock Pokémon,100,1059860,NA,40,Isitsubuteイシツブテ,Geodude,50,74,30,30,20,rock,ground,NA,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",95,70,390,120,Rock Pokémon,115,1059860,NA,55,Goloneゴローン,Graveler,50,75,45,45,35,rock,ground,NA,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",120,70,495,45,Megaton Pokémon,130,1059860,NA,80,Golonyaゴローニャ,Golem,50,76,55,65,45,rock,ground,NA,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",85,70,410,190,Fire Horse Pokémon,55,1000000,1,50,Ponytaポニータ,Ponyta,50,77,65,65,90,fire,NA,30,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",100,70,500,60,Fire Horse Pokémon,70,1000000,1.7,65,Gallopギャロップ,Rapidash,50,78,80,80,105,fire,NA,95,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",65,70,315,190,Dopey Pokémon,65,1000000,1.2,90,Yadonヤドン,Slowpoke,50,79,40,40,15,water,psychic,36,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",75,70,590,75,Hermit Crab Pokémon,180,1000000,1.6,95,Yadoranヤドラン,Slowbro,50,80,130,80,30,water,psychic,78.5,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",35,70,325,190,Magnet Pokémon,70,1000000,0.3,25,Coilコイル,Magnemite,NA,81,95,55,45,electric,steel,6,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",60,70,465,60,Magnet Pokémon,95,1000000,1,50,Rarecoilレアコイル,Magneton,NA,82,120,70,70,electric,steel,60,1,0
"['Keen Eye', 'Inner Focus', 'Defiant']",90,70,377,45,Wild Duck Pokémon,55,1000000,0.8,52,Kamonegiカモネギ,Farfetch'd,50,83,58,62,60,normal,flying,15,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",85,70,310,190,Twin Bird Pokémon,45,1000000,1.4,35,Dodoドードー,Doduo,50,84,35,35,75,normal,flying,39.2,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",110,70,470,45,Triple Bird Pokémon,70,1000000,1.8,60,Dodorioドードリオ,Dodrio,50,85,60,60,110,normal,flying,85.2,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",45,70,325,190,Sea Lion Pokémon,55,1000000,1.1,65,Pawouパウワウ,Seel,50,86,45,70,45,water,NA,90,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",70,70,475,75,Sea Lion Pokémon,80,1000000,1.7,90,Jugonジュゴン,Dewgong,50,87,70,95,70,water,ice,120,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",80,70,325,190,Sludge Pokémon,50,1000000,NA,80,Betbeterベトベター,Grimer,50,88,40,50,25,poison,poison,NA,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",105,70,500,75,Sludge Pokémon,75,1000000,NA,105,Betbetonベトベトン,Muk,50,89,65,100,50,poison,poison,NA,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']",65,70,305,190,Bivalve Pokémon,100,1250000,0.3,30,Shellderシェルダー,Shellder,50,90,45,25,40,water,NA,4,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']",95,70,525,60,Bivalve Pokémon,180,1250000,1.5,50,Parshenパルシェン,Cloyster,50,91,85,45,70,water,ice,132.5,1,0
['Levitate'],35,70,310,190,Gas Pokémon,30,1059860,1.3,30,Ghosゴース,Gastly,50,92,100,35,80,ghost,poison,0.1,1,0
['Levitate'],50,70,405,90,Gas Pokémon,45,1059860,1.6,45,Ghostゴースト,Haunter,50,93,115,55,95,ghost,poison,0.1,1,0
['Cursed Body'],65,70,600,45,Shadow Pokémon,80,1059860,1.5,60,Gangarゲンガー,Gengar,50,94,170,95,130,ghost,poison,40.5,1,0
"['Rock Head', 'Sturdy', 'Weak Armor']",45,70,385,45,Rock Snake Pokémon,160,1000000,8.8,35,Iwarkイワーク,Onix,50,95,30,45,70,rock,ground,210,1,0
"['Insomnia', 'Forewarn', 'Inner Focus']",48,70,328,190,Hypnosis Pokémon,45,1000000,1,60,Sleepeスリープ,Drowzee,50,96,43,90,42,psychic,NA,32.4,1,0
"['Insomnia', 'Forewarn', 'Inner Focus']",73,70,483,75,Hypnosis Pokémon,70,1000000,1.6,85,Sleeperスリーパー,Hypno,50,97,73,115,67,psychic,NA,75.6,1,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",105,70,325,225,River Crab Pokémon,90,1000000,0.4,30,Crabクラブ,Krabby,50,98,25,25,50,water,NA,6.5,1,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",130,70,475,60,Pincer Pokémon,115,1000000,1.3,55,Kinglerキングラー,Kingler,50,99,50,50,75,water,NA,60,1,0
"['Soundproof', 'Static', 'Aftermath']",30,70,330,190,Ball Pokémon,50,1000000,0.5,40,Biriridamaビリリダマ,Voltorb,NA,100,55,55,100,electric,NA,10.4,1,0
"['Soundproof', 'Static', 'Aftermath']",50,70,490,60,Ball Pokémon,70,1000000,1.2,60,Marumineマルマイン,Electrode,NA,101,80,80,150,electric,NA,66.6,1,0
"['Chlorophyll', 'Harvest']",40,70,325,90,Egg Pokémon,80,1250000,0.4,60,Tamatamaタマタマ,Exeggcute,50,102,60,45,40,grass,psychic,2.5,1,0
"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",105,70,530,45,Coconut Pokémon,85,1250000,NA,95,Nassyナッシー,Exeggutor,50,103,125,75,45,grass,psychic,NA,1,0
"['Rock Head', 'Lightningrod', 'Battle Armor']",50,70,320,190,Lonely Pokémon,95,1000000,0.4,50,Karakaraカラカラ,Cubone,50,104,40,50,35,ground,NA,6.5,1,0
"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",80,70,425,75,Bone Keeper Pokémon,110,1000000,NA,60,Garagaraガラガラ,Marowak,50,105,50,80,45,ground,fire,NA,1,0
"['Limber', 'Reckless', 'Unburden']",120,70,455,45,Kicking Pokémon,53,1000000,1.5,50,Sawamularサワムラー,Hitmonlee,100,106,35,110,87,fighting,NA,49.8,1,0
"['Keen Eye', 'Iron Fist', 'Inner Focus']",105,70,455,45,Punching Pokémon,79,1000000,1.4,50,Ebiwalarエビワラー,Hitmonchan,100,107,35,110,76,fighting,NA,50.2,1,0
"['Own Tempo', 'Oblivious', 'Cloud Nine']",55,70,385,45,Licking Pokémon,75,1000000,1.2,90,Beroringaベロリンガ,Lickitung,50,108,60,75,30,normal,NA,65.5,1,0
['Levitate'],65,70,340,190,Poison Gas Pokémon,95,1000000,0.6,40,Dogarsドガース,Koffing,50,109,60,45,35,poison,NA,1,1,0
['Levitate'],90,70,490,60,Poison Gas Pokémon,120,1000000,1.2,65,Matadogasマタドガス,Weezing,50,110,85,70,60,poison,NA,9.5,1,0
"['Lightningrod', 'Rock Head', 'Reckless']",85,70,345,120,Spikes Pokémon,95,1250000,1,80,Sihornサイホーン,Rhyhorn,50,111,30,30,25,ground,rock,115,1,0
"['Lightningrod', 'Rock Head', 'Reckless']",130,70,485,60,Drill Pokémon,120,1250000,1.9,105,Sidonサイドン,Rhydon,50,112,45,45,40,ground,rock,120,1,0
"['Natural Cure', 'Serene Grace', 'Healer']",5,140,450,30,Egg Pokémon,5,800000,1.1,250,Luckyラッキー,Chansey,0,113,35,105,50,normal,NA,34.6,1,0
"['Chlorophyll', 'Leaf Guard', 'Regenerator']",55,70,435,45,Vine Pokémon,115,1000000,1,65,Monjaraモンジャラ,Tangela,50,114,100,40,60,grass,NA,35,1,0
"['Early Bird', 'Scrappy', 'Inner Focus']",125,70,590,45,Parent Pokémon,100,1000000,2.2,105,Garuraガルーラ,Kangaskhan,0,115,60,100,100,normal,NA,80,1,0
"['Swift Swim', 'Sniper', 'Damp']",40,70,295,225,Dragon Pokémon,70,1000000,0.4,30,Tattuタッツー,Horsea,50,116,70,25,60,water,NA,8,1,0
"['Poison Point', 'Sniper', 'Damp']",65,70,440,75,Dragon Pokémon,95,1000000,1.2,55,Seadraシードラ,Seadra,50,117,95,45,85,water,NA,25,1,0
"['Swift Swim', 'Water Veil', 'Lightningrod']",67,70,320,225,Goldfish Pokémon,60,1000000,0.6,45,Tosakintoトサキント,Goldeen,50,118,35,50,63,water,NA,15,1,0
"['Swift Swim', 'Water Veil', 'Lightningrod']",92,70,450,60,Goldfish Pokémon,65,1000000,1.3,80,Azumaoアズマオウ,Seaking,50,119,65,80,68,water,NA,39,1,0
"['Illuminate', 'Natural Cure', 'Analytic']",45,70,340,225,Starshape Pokémon,55,1250000,0.8,30,Hitodemanヒトデマン,Staryu,NA,120,70,55,85,water,NA,34.5,1,0
"['Illuminate', 'Natural Cure', 'Analytic']",75,70,520,60,Mysterious Pokémon,85,1250000,1.1,60,Starmieスターミー,Starmie,NA,121,100,85,115,water,psychic,80,1,0
"['Soundproof', 'Filter', 'Technician']",45,70,460,45,Barrier Pokémon,65,1000000,1.3,40,Barrierdバリヤード,Mr. Mime,50,122,100,120,90,psychic,fairy,54.5,1,0
"['Swarm', 'Technician', 'Steadfast']",110,70,500,45,Mantis Pokémon,80,1000000,1.5,70,Strikeストライク,Scyther,50,123,55,80,105,bug,flying,56,1,0
"['Oblivious', 'Forewarn', 'Dry Skin']",50,70,455,45,Humanshape Pokémon,35,1000000,1.4,65,Rougelaルージュラ,Jynx,0,124,115,95,95,ice,psychic,40.6,1,0
"['Static', 'Vital Spirit']",83,70,490,45,Electric Pokémon,57,1000000,1.1,65,Elebooエレブー,Electabuzz,75.4,125,95,85,105,electric,NA,30,1,0
"['Flame Body', 'Vital Spirit']",95,70,495,45,Spitfire Pokémon,57,1000000,1.3,65,Booberブーバー,Magmar,75.4,126,100,85,93,fire,NA,44.5,1,0
"['Hyper Cutter', 'Mold Breaker', 'Moxie']",155,70,600,45,Stagbeetle Pokémon,120,1250000,1.5,65,Kailiosカイロス,Pinsir,50,127,65,90,105,bug,NA,55,1,0
"['Intimidate', 'Anger Point', 'Sheer Force']",100,70,490,45,Wild Bull Pokémon,95,1250000,1.4,75,Kentaurosケンタロス,Tauros,100,128,40,70,110,normal,NA,88.4,1,0
"['Swift Swim', 'Rattled']",10,70,200,255,Fish Pokémon,55,1250000,0.9,20,Koikingコイキング,Magikarp,50,129,15,20,80,water,NA,10,1,0
"['Intimidate', 'Moxie']",155,70,640,45,Atrocious Pokémon,109,1250000,6.5,95,Gyaradosギャラドス,Gyarados,50,130,70,130,81,water,flying,235,1,0
"['Water Absorb', 'Shell Armor', 'Hydration']",85,70,535,45,Transport Pokémon,80,1250000,2.5,130,Laplaceラプラス,Lapras,50,131,85,95,60,water,ice,220,1,0
"['Limber', 'Imposter']",48,70,288,35,Transform Pokémon,48,1000000,0.3,48,Metamonメタモン,Ditto,NA,132,48,48,48,normal,NA,4,1,0
"['Run Away', 'Adaptability', 'Anticipation']",55,70,325,45,Evolution Pokémon,50,1000000,0.3,55,Eievuiイーブイ,Eevee,88.1,133,45,65,55,normal,NA,6.5,1,0
"['Water Absorb', 'Hydration']",65,70,525,45,Bubble Jet Pokémon,60,1000000,1,130,Showersシャワーズ,Vaporeon,88.1,134,110,95,65,water,NA,29,1,0
"['Volt Absorb', 'Quick Feet']",65,70,525,45,Lightning Pokémon,60,1000000,0.8,65,Thundersサンダース,Jolteon,88.1,135,110,95,130,electric,NA,24.5,1,0
"['Flash Fire', 'Guts']",130,70,525,45,Flame Pokémon,60,1000000,0.9,65,Boosterブースター,Flareon,88.1,136,95,110,65,fire,NA,25,1,0
"['Trace', 'Download', 'Analytic']",60,70,395,45,Virtual Pokémon,70,1000000,0.8,65,Porygonポリゴン,Porygon,NA,137,85,75,40,normal,NA,36.5,1,0
"['Swift Swim', 'Shell Armor', 'Weak Armor']",40,70,355,45,Spiral Pokémon,100,1000000,0.4,35,Omniteオムナイト,Omanyte,88.1,138,90,55,35,rock,water,7.5,1,0
"['Swift Swim', 'Shell Armor', 'Weak Armor']",60,70,495,45,Spiral Pokémon,125,1000000,1,70,Omstarオムスター,Omastar,88.1,139,115,70,55,rock,water,35,1,0
"['Swift Swim', 'Battle Armor', 'Weak Armor']",80,70,355,45,Shellfish Pokémon,90,1000000,0.5,30,Kabutoカブト,Kabuto,88.1,140,55,45,55,rock,water,11.5,1,0
"['Swift Swim', 'Battle Armor', 'Weak Armor']",115,70,495,45,Shellfish Pokémon,105,1000000,1.3,60,Kabutopsカブトプス,Kabutops,88.1,141,65,70,80,rock,water,40.5,1,0
"['Rock Head', 'Pressure', 'Unnerve']",135,70,615,45,Fossil Pokémon,85,1250000,1.8,80,Pteraプテラ,Aerodactyl,88.1,142,70,95,150,rock,flying,59,1,0
"['Immunity', 'Thick Fat', 'Gluttony']",110,70,540,25,Sleeping Pokémon,65,1250000,2.1,160,Kabigonカビゴン,Snorlax,88.1,143,65,110,30,normal,NA,460,1,0
"['Pressure', 'Snow Cloak']",85,35,580,3,Freeze Pokémon,100,1250000,1.7,90,Freezerフリーザー,Articuno,NA,144,95,125,85,ice,flying,55.4,1,1
